Day,Time,Class,Subject,Faculty,Roll No,Location,Term
Thursday,16:00 - 17:00,Cavernous Sinus Thrombosis,Ophthalmology,"MHK, CMD1, Maj Preeti",All,NLH,VII
Saturday,08:45 - 09:30,Enumerate the indications and describe the principles of refractive surgery,Ophthalmology,Col Santosh Kumar,All,NLH,VII
Saturday,09:30 - 10:15,"PRK, SMILE, LASIK",Ophthalmology,Lt Col Sunandan Bhatta,All,NLH,VII
